cinv;cislo;budt;mist;osc;zapl;nazev;poh;nomenkl;kat;typmajet;ucet;datzar;trida;mj;cenamj;czcpa;skp;jkpov;druh;cmnoz;ccena;fizd;hjz;dod;cdokpor;cdok;vyrcis;rok;evcis;cinnost;zak;najz;naji;naj;pracn;datpok;kontr;zpinv;zptck;pozn;obr;prilohy
101;D01040321;903;214;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220303;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040322;903;214;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220303;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040323;903;214;;1.12.2022;skříň kovová - štádlo;861;;;1;85;12.11.2003;85;ks;3332,00;31.09.11;36.1;;;1,000;3332,00;;;;;P220303;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040472;903;2810;;20.3.2026;Motorola GM 360;861;;;1;82;1.1.2004;82;ks;28876,50;26.30.11;32.30;;;1,000;28876,50;;;;;P260091;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040474;903;403;;1.12.2022;Motorola GP 340;861;;;1;82;1.1.2004;82;ks;25400,70;26.30.11;32.30;;;1,000;25400,70;;;;;P220313;672TDLS533;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040475;903;403;;1.12.2022;Motorola GP 340;861;;;1;82;1.1.2004;82;ks;25400,70;26.30.11;32.30;;;1,000;25400,70;;;;;P220313;672TDG8408;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040476;903;403;;1.12.2022;Motorola GP 340;861;;;1;82;1.1.2004;82;ks;25400,70;26.30.11;32.30;;;1,000;25400,70;;;;;P220313;672TGNM981;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040477;903;403;;1.12.2022;Motorola GP 340;861;;;1;82;1.1.2004;82;ks;25400,70;26.30.11;32.30;;;1,000;25400,70;;;;;P220313;672TDLV858;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040478;903;403;;1.12.2022;Motorola GP 340;861;;;1;82;1.1.2004;82;ks;25400,70;26.30.11;32.30;;;1,000;25400,70;;;;;P220313;672TDN9382;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040479;903;403;;1.12.2022;Motorola GP 340;861;;;1;82;1.1.2004;82;ks;25400,70;26.30.11;32.30;;;1,000;25400,70;;;;;P220313;672TDG8411;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040480;903;403;;1.12.2022;Motorola GP 340;861;;;1;82;1.1.2004;82;ks;25400,70;26.30.11;32.30;;;1,000;25400,70;;;;;P220313;672TDG8388;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040481;903;403;;1.12.2022;Motorola GP 340;861;;;1;82;1.1.2004;82;ks;25400,70;26.30.11;32.30;;;1,000;25400,70;;;;;P220313;672TGNN001;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040482;903;403;;1.12.2022;Motorola GP 340;861;;;1;82;1.1.2004;82;ks;25400,70;26.30.11;32.30;;;1,000;25400,70;;;;;P220313;672TDLW087;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040539;903;403;;14.9.2023;RDST Motorola GP 340;861;;;1;82;1.7.2004;82;ks;17360,00;26.30.11;32.30;;;1,000;17360,00;;;48907804;ZD1040023;P230280;bez VC;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040603;903;408;;1.3.2026;Scoop ram Spencer L49;861;;;1;81;11.10.2004;81;ks;10825,00;32.50.50;33.10;;;1,000;10825,00;;;;;P260091;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01040604;903;4807;;11.12.2024;scoop ram Spencer L50;861;;;1;81;11.10.2004;81;ks;10825,00;32.50.50;33.10;;;1,000;10825,00;;;;;P240442;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01050002;903;2810;;20.3.2026;držák k odsávačce;861;;;1;91;28.1.2005;91;ks;833,00;32.50.50;;;;1,000;833,00;;;63886731;ZD1050003;P260091;;2005;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01050025;903;2810;;20.3.2026;Přetlak. inf. manžeta;861;;;1;81;28.2.2005;81;ks;1581,53;32.50.50;33.10;;;1,000;1581,53;;;;ZD1050027;P260091;;2005;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01050026;903;2810;;1.3.2026;Přetlak. inf. manžeta;861;;;1;81;28.2.2005;81;ks;1581,53;32.50.50;33.10;;;1,000;1581,53;;;;ZD1050028;P260091;;2005;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01050041;903;2810;;20.3.2026;Brašna na odsáv. kanyly;861;;;1;91;30.5.2005;91;ks;976,50;32.50.50;33.10;;;1,000;976,50;;;63886731;ZD1050043;P260091;;2005;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01050043;903;9098;;1.12.2022;Brašna na odsáv. kanyly;861;;;1;91;30.7.2005;91;ks;976,50;32.50.50;33.10;;;1,000;976,50;;;63886731;ZD1050046;P220279;;2005;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01050056;903;1807;;18.9.2025;Brašna na krční límce;861;;;1;81;1.8.2005;81;ks;1094,80;32.50.50;33.10;;;1,000;1094,80;;;;ZD1050059;P250290;;2005;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01050107;903;221;190;23.4.2024;Bezdrátový Panasonic KX-TCD300;861;;;1;82;31.10.2005;82;ks;2099,00;26.30.23;;;;1,000;2099,00;;;60193336;ZD1050108;P240126;;2005;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01050121;903;204;;1.12.2022;nástěn. věšák;861;;;1;98;28.11.2005;98;ks;500,00;31.09.13;;;;1,000;500,00;;;;ZD1050122;P220301;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01050123;903;227;;1.12.2022;nástěn. věšák;861;;;1;98;28.11.2005;98;ks;500,00;31.09.13;;;;1,000;500,00;;;;ZD1050124;P220311;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01050124;903;202;;1.12.2022;nástěn. věšák;861;;;1;98;28.11.2005;98;ks;500,00;31.09.13;;;;1,000;500,00;;;;ZD1050125;P220299;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01050125;903;225;;1.12.2022;nástěn. věšák;861;;;1;98;28.11.2005;98;ks;500,00;31.09.13;;;;1,000;500,00;;;;ZD1050126;P220309;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01050131;903;408;190;11.1.2023;Scoop ram Spencer;861;;;1;81;29.11.2005;81;ks;10825,00;32.50.50;33.10;;;1,000;10825,00;;;;ZD1050132;P230012;;;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01050142;903;403;190;1.12.2022;Sada nářadí 72 ks;861;;;1;86;30.11.2005;86;ks;1324,00;25.73.60;;;;1,000;1324,00;;;;ZD1050142;P220313;;2005;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01060004;903;217;;31.10.2023;Stojanová lampa;861;;;1;98;28.2.2006;98;ks;699,00;27.90.11;;;;1,000;699,00;;;18631991;ZD1060004;P230349;;2006;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01060018;903;408;;1.3.2026;transp. křeslo ROLMAN;861;;;1;81;31.8.2006;81;ks;19689,25;32.50.50;33.10;;;1,000;19689,25;;;64506592;ZD1060018;P260091;7-2-2022/1;2006;;;;0,00;0,000;0,00;;;;2;2;;;
101;D01060111;903;408;;1.12.2022;model Little Anne;861;;;1;81;29.12.2006;81;ks;6269,85;32.50.50;33.10;;;1,000;6269,85;;;47903279;ZD1060111;P220297;;2006;;;;0,00;0,000;0,00;;;;2;2;;;
